Port,latitude,longitude,geometry,AOI_projected,AOI
Muntok ,-2.06667,105.16667,POINT (105.16667 -2.06667),"POLYGON ((6869134.351664407 9172100.405560939, 6869134.351664407 9128100.405560939, 6825134.351664407 9128100.405560939, 6825134.351664407 9172100.405560939, 6869134.351664407 9172100.405560939))","POLYGON ((105.19025688275526 -1.9015965399735184, 105.33101787492608 -2.0902457177783744, 105.14295565794198 -2.232162169475365, 105.00244958256404 -2.0426577767568017, 105.19025688275526 -1.9015965399735184))"
Namlea ,-3.28333,127.08333,POINT (127.08333 -3.28333),"POLYGON ((9461179.090192948 6057502.433124799, 9461179.090192948 6013502.433124799, 9417179.090192948 6013502.433124799, 9417179.090192948 6057502.433124799, 9461179.090192948 6057502.433124799))","POLYGON ((127.04705891797511 -3.117340575404487, 127.24858332290313 -3.2465614534793095, 127.11979836185687 -3.4497203261410565, 126.91787940002673 -3.3196682670361093, 127.04705891797511 -3.117340575404487))"
North Pulau Laut Coal Terminal ,-3.2,116.28333,POINT (116.28333 -3.2),"POLYGON ((8261091.879456133 7636762.838256101, 8261091.879456133 7592762.838256101, 8217091.879456133 7592762.838256101, 8217091.879456133 7636762.838256101, 8261091.879456133 7636762.838256101))","POLYGON ((116.27669533291467 -3.030406859999797, 116.45225493561328 -3.19307780484836, 116.2900015392869 -3.3700344583589352, 116.11436819275055 -3.2064523197937675, 116.27669533291467 -3.030406859999797))"
Palembang ,-2.98333,104.76667,POINT (104.76667 -2.98333),"POLYGON ((6708247.863757589 9080390.95425108, 6708247.863757589 9036390.95425108, 6664247.863757589 9036390.95425108, 6664247.863757589 9080390.95425108, 6708247.863757589 9080390.95425108))","POLYGON ((104.79170181882309 -2.8160503202915685, 104.93333604432634 -3.0083405590888637, 104.74150100375128 -3.151031112047944, 104.60014113109723 -2.957871564949255, 104.79170181882309 -2.8160503202915685))"
Pangkalansusu ,4.11667,98.21667,POINT (98.21667 4.11667),"POLYGON ((6395008.083541848 10938367.16747785, 6395008.083541848 10894367.16747785, 6351008.083541848 10894367.16747785, 6351008.083541848 10938367.16747785, 6395008.083541848 10938367.16747785))","POLYGON ((98.25471835027079 4.262225748608244, 98.36189510160428 4.07853518642655, 98.17844006718477 3.9707642590083636, 98.07162647902426 4.15512590573898, 98.25471835027079 4.262225748608244))"
Pangkalpinang ,-2.11667,106.13333,POINT (106.13333 -2.11667),"POLYGON ((7007649.011601103 9055024.552164525, 7007649.011601103 9011024.552164525, 6963649.011601103 9011024.552164525, 6963649.011601103 9055024.552164525, 7007649.011601103 9055024.552164525))","POLYGON ((106.15433318242833 -1.9511123463800215, 106.29815963944569 -2.1376365759445397, 106.11221298166384 -2.2826503857800735, 105.96861419482634 -2.095262436449668, 106.15433318242833 -1.9511123463800215))"
Panjang ,-5.46667,105.31667,POINT (105.31667 -5.46667),"POLYGON ((6520592.3466553055 8661934.218495954, 6520592.3466553055 8617934.218495954, 6476592.3466553055 8617934.218495954, 6476592.3466553055 8661934.218495954, 6520592.3466553055 8661934.218495954))","POLYGON ((105.34117357999541 -5.292797304531946, 105.49046481652249 -5.491051229758018, 105.2920263760916 -5.6409775409306695, 105.14301522516186 -5.441801605132453, 105.34117357999541 -5.292797304531946))"
Patani ,0.36667,128.75,POINT (128.75 0.36667),"POLYGON ((10211168.289080847 6151277.2526183445, 10211168.289080847 6107277.2526183445, 10167168.289080847 6107277.2526183445, 10167168.289080847 6151277.2526183445, 10211168.289080847 6151277.2526183445))","POLYGON ((128.71158303658325 0.5223295546309408, 128.90470831272222 0.4056285584547506, 128.78861255423644 0.2106364704254534, 128.59509609882406 0.3280824968100686, 128.71158303658325 0.5223295546309408))"
Pekalongan ,-6.85,109.7,POINT (109.7 -6.85),"POLYGON ((6965240.733969411 7990084.023948923, 6965240.733969411 7946084.023948923, 6921240.733969411 7946084.023948923, 6921240.733969411 7990084.023948923, 6965240.733969411 7990084.023948923))","POLYGON ((109.71227029094318 -6.671269136603249, 109.87909096138763 -6.862037848647136, 109.68765742342153 -7.029185930395272, 109.52098132300662 -6.8374387314123295, 109.71227029094318 -6.671269136603249))"
Poleng Oil Field ,-6.65,112.91667,POINT (112.91667 -6.65),"POLYGON ((7399955.675734025 7637787.764535111, 7399955.675734025 7593787.764535111, 7355955.675734025 7593787.764535111, 7355955.675734025 7637787.764535111, 7399955.675734025 7637787.764535111))","POLYGON ((112.91949890841553 -6.471384047279755, 113.09554504418332 -6.652574543675319, 112.91382444373114 -6.8290745737437115, 112.73781160338346 -6.646900874569146, 112.91949890841553 -6.471384047279755))"
Pomalaa ,-4.16667,121.6,POINT (121.6 -4.16667),"POLYGON ((8754080.680953182 6782697.927485587, 8754080.680953182 6738697.927485587, 8710080.680953182 6738697.927485587, 8710080.680953182 6782697.927485587, 8754080.680953182 6782697.927485587))","POLYGON ((121.57837904543211 -3.9958068420439057, 121.77032945712403 -4.144665623071924, 121.62174214494725 -4.3379658357633755, 121.42954935435905 -4.1882033800890754, 121.57837904543211 -3.9958068420439057))"
Pontianak ,-0.01667,109.33333,POINT (109.33333 -0.01667),"POLYGON ((7731292.696331458 8977383.404052407, 7731292.696331458 8933383.404052407, 7687292.696331458 8933383.404052407, 7687292.696331458 8977383.404052407, 7731292.696331458 8977383.404052407))","POLYGON ((109.34526838961479 0.144276714685551, 109.4934391134438 -0.0285099357958128, 109.32132875364373 -0.1780373540408264, 109.1732837424359 -0.0044092915946318, 109.34526838961479 0.144276714685551))"
Poso ,-1.36667,120.75,POINT (120.75 -1.36667),"POLYGON ((9062641.328263715 7225409.614249365, 9062641.328263715 7181409.614249365, 9018641.328263715 7181409.614249365, 9018641.328263715 7225409.614249365, 9062641.328263715 7225409.614249365))","POLYGON ((120.73160731525122 -1.2027737151751772, 120.91300582487669 -1.3478926032835714, 120.768491330009 -1.530988205980615, 120.58689553125619 -1.385013967339052, 120.73160731525122 -1.2027737151751772))"
Probolinggo ,-7.71667,113.21667,POINT (113.21667 -7.71667),"POLYGON ((7308568.670168796 7469770.145398238, 7308568.670168796 7425770.145398238, 7264568.670168796 7425770.145398238, 7264568.670168796 7469770.145398238, 7308568.670168796 7469770.145398238))","POLYGON ((113.21865568811776 -7.535315856884621, 113.39871568370481 -7.718385559989358, 113.21467241837992 -7.898487261926294, 113.03463620958546 -7.714412307808644, 113.21865568811776 -7.535315856884621))"
Pulau Baai ,-3.91667,102.28333,POINT (102.28333 -3.91667),"POLYGON ((6238406.103516183 9204191.167164989, 6238406.103516183 9160191.167164989, 6194406.103516183 9160191.167164989, 6194406.103516183 9204191.167164989, 6238406.103516183 9204191.167164989))","POLYGON ((102.3155936807515 -3.7481674136002705, 102.45139596857382 -3.948938864238088, 102.25088804239486 -4.085585705119221, 102.11544230567367 -3.883952274546315, 102.3155936807515 -3.7481674136002705))"
Pulau Sambu ,1.16667,103.9,POINT (103.9 1.16667),"POLYGON ((7037634.420412214 9814985.185921172, 7037634.420412214 9770985.185921172, 6993634.420412214 9770985.185921172, 6993634.420412214 9814985.185921172, 7037634.420412214 9814985.185921172))","POLYGON ((103.92560432238612 1.322839161809758, 104.05541817833729 1.141026693136921, 103.87426485774758 1.010104465182613, 103.74471263987665 1.1927006316472848, 103.92560432238612 1.322839161809758))"
Raha Roadstead ,-4.85,122.73333,POINT (122.73333 -4.85),"POLYGON ((8779882.417941725 6545948.4709733585, 8779882.417941725 6501948.4709733585, 8735882.417941725 6501948.4709733585, 8735882.417941725 6545948.4709733585, 8779882.417941725 6545948.4709733585))","POLYGON ((122.7082767366784 -4.677818094520438, 122.9051255307105 -4.824560471185118, 122.75852491272471 -5.022612907330017, 122.56139282208952 -4.87496297526617, 122.7082767366784 -4.677818094520438))"
Ramba ,-2.61667,104.13333,POINT (104.13333 -2.61667),"POLYGON ((6653332.368853603 9204113.415983865, 6653332.368853603 9160113.415983865, 6609332.368853603 9160113.415983865, 6609332.368853603 9204113.415983865, 6653332.368853603 9204113.415983865))","POLYGON ((104.15992736505626 -2.4506036282688455, 104.29873822016548 -2.643270791340498, 104.10658798489003 -2.7831532087694604, 103.968066427816 -2.589629443903193, 104.15992736505626 -2.4506036282688455))"
Rembang ,-6.7,111.35,POINT (111.35 -6.7),"POLYGON ((7195952.685074796 7818445.187831923, 7195952.685074796 7774445.187831923, 7151952.685074796 7774445.187831923, 7151952.685074796 7818445.187831923, 7195952.685074796 7818445.187831923))","POLYGON ((111.35741643031382 -6.521387221606654, 111.52890326338895 -6.707174473815808, 111.34253992110747 -6.8790701588195375, 111.17114038443951 -6.6923015893354405, 111.35741643031382 -6.521387221606654))"
Sabang ,5.88333,95.31667,POINT (95.31667 5.88333),"POLYGON ((6040153.564717558 11557607.108305532, 6040153.564717558 11513607.108305532, 5996153.564717558 11513607.108305532, 5996153.564717558 11557607.108305532, 6040153.564717558 11557607.108305532))","POLYGON ((95.36028560870001 6.02243874459647, 95.45584904314083 5.839696809571662, 95.27285494348732 5.743899594568012, 95.1776904028011 5.927246013628435, 95.36028560870001 6.02243874459647))"
Sailolof ,-1.25,130.75,POINT (130.75 -1.25),"POLYGON ((10136743.807604862 5663219.127711206, 10136743.807604862 5619219.127711206, 10092743.807604862 5619219.127711206, 10092743.807604862 5663219.127711206, 10136743.807604862 5663219.127711206))","POLYGON ((130.70538113091726 -1.0916040016396693, 130.90744001620652 -1.2047867064753877, 130.79485008055067 -1.4087630675219824, 130.5923287751648 -1.2948357369423205, 130.70538113091726 -1.0916040016396693))"
Salawati ,-1.35,130.98333,POINT (130.98333 -1.35),"POLYGON ((10141754.08325238 5615344.757282556, 10141754.08325238 5571344.757282556, 10097754.08325238 5571344.757282556, 10097754.08325238 5615344.757282556, 10141754.08325238 5615344.757282556))","POLYGON ((130.93803633594075 -1.1915248052419078, 131.1408525418136 -1.304107795227519, 131.02885849821695 -1.50884089367443, 130.82557262690815 -1.3955151430519304, 130.93803633594075 -1.1915248052419078))"
Samarinda ,-0.51667,117.11667,POINT (117.11667 -0.51667),"POLYGON ((8737443.0881461 7858873.989634259, 8737443.0881461 7814873.989634259, 8693443.0881461 7814873.989634259, 8693443.0881461 7858873.989634259, 8737443.0881461 7858873.989634259))","POLYGON ((117.10811466664828 -0.3541898180056257, 117.27825736043044 -0.5078195645663413, 117.1252708103434 -0.6795760065511266, 116.95503716321522 -0.5250903784378417, 117.10811466664828 -0.3541898180056257))"
Sampit ,-2.51667,113.0,POINT (113 -2.51667),"POLYGON ((7926888.868070405 8159421.7900644075, 7926888.868070405 8115421.7900644075, 7882888.868070405 8115421.7900644075, 7882888.868070405 8159421.7900644075, 7926888.868070405 8159421.7900644075))","POLYGON ((113.00241668590304 -2.3487441932747766, 113.16718916776111 -2.5188767479525733, 112.99757002372101 -2.6850348139670346, 112.83282412241502 -2.5140022632228733, 113.00241668590304 -2.3487441932747766))"
Saumlaki ,-7.98333,131.3,POINT (131.3 -7.98333),"POLYGON ((9127177.232773004 4993007.722461092, 9127177.232773004 4949007.722461092, 9083177.232773004 4949007.722461092, 9083177.232773004 4993007.722461092, 9127177.232773004 4993007.722461092))","POLYGON ((131.24862085602524 -7.80863275590764, 131.47529256865005 -7.931732292632268, 131.35167569698663 -8.158411247264763, 131.12441088282586 -8.034461311556722, 131.24862085602524 -7.80863275590764))"
Sekupang ,1.13333,103.91667,POINT (103.91667 1.13333),"POLYGON ((7036499.79151816 9807748.528635345, 7036499.79151816 9763748.528635345, 6992499.79151816 9763748.528635345, 6992499.79151816 9807748.528635345, 7036499.79151816 9807748.528635345))","POLYGON ((103.94224580530857 1.289592925509388, 104.07217958636694 1.1077153780506044, 103.89096344341378 0.9766704449710536, 103.761291163257 1.1593324520952075, 103.94224580530857 1.289592925509388))"
Semarang ,-6.95,110.41667,POINT (110.41667 -6.95),"POLYGON ((7046884.205624905 7894985.329200466, 7046884.205624905 7850985.329200466, 7002884.205624905 7850985.329200466, 7002884.205624905 7894985.329200466, 7046884.205624905 7894985.329200466))","POLYGON ((110.42685749977143 -6.770882055235272, 110.59618151846988 -6.959946440581654, 110.40642234112634 -7.129574875737914, 110.237218639593 -6.93952706998, 110.42685749977143 -6.770882055235272))"
Serui ,-1.9,136.25,POINT (136.25 -1.9),"POLYGON ((10492316.269577747 4679439.753703017, 10492316.269577747 4635439.753703017, 10448316.269577747 4635439.753703017, 10448316.269577747 4679439.753703017, 10492316.269577747 4679439.753703017))","POLYGON ((136.19077795952535 -1.744692760200711, 136.40436275880484 -1.8400924186222547, 136.30952298322362 -2.0556288938819502, 136.09533630174127 -1.9595696512644118, 136.19077795952535 -1.744692760200711))"
Sibolga ,1.73333,98.76667,POINT (98.76667 1.73333),"POLYGON ((6246425.109373149 10466309.858165134, 6246425.109373149 10422309.858165134, 6202425.109373149 10422309.858165134, 6202425.109373149 10466309.858165134, 6246425.109373149 10466309.858165134))","POLYGON ((98.80486360554015 1.8853366389790673, 98.91800546531618 1.6949779820792523, 98.72828643078621 1.580957627468769, 98.61552449616931 1.7720345599055856, 98.80486360554015 1.8853366389790673))"
Stagen ,-3.3,116.15,POINT (116.15 -3.3),"POLYGON ((8231012.173389402 7642316.9896321045, 8231012.173389402 7598316.9896321045, 8187012.173389402 7598316.9896321045, 8187012.173389402 7642316.9896321045, 8231012.173389402 7642316.9896321045))","POLYGON ((116.14372358759022 -3.130132685239372, 116.31921599203625 -3.2934386830298368, 116.15631135367015 -3.470309291747962, 115.98074906724112 -3.306089798322879, 116.14372358759022 -3.130132685239372))"
Sungaigerong ,-2.98333,104.83333,POINT (104.83333 -2.98333),"POLYGON ((6718148.054329067 9073074.986440329, 6718148.054329067 9029074.986440329, 6674148.054329067 9029074.986440329, 6674148.054329067 9073074.986440329, 6718148.054329067 9073074.986440329))","POLYGON ((104.85818013582181 -2.8160229750706764, 105.00002290139695 -3.0081572701431636, 104.8083436599841 -3.1510587492890587, 104.66677330080792 -2.9580545618805787, 104.85818013582181 -2.8160229750706764))"
Sungaipakning ,1.35,102.16667,POINT (102.16667 1.35),"POLYGON ((6776567.722055989 10040344.809837103, 6776567.722055989 9996344.809837103, 6732567.722055989 9996344.809837103, 6732567.722055989 10040344.809837103, 6776567.722055989 10040344.809837103))","POLYGON ((102.19658003545098 1.5049009493241803, 102.32084501813802 1.3200093541504938, 102.13660838179584 1.1947118553953155, 102.01264656275168 1.380367434727822, 102.19658003545098 1.5049009493241803))"
Surabaya ,-7.2,112.73333,POINT (112.73333 -7.2),"POLYGON ((7310920.959339593 7591298.235685128, 7310920.959339593 7547298.235685128, 7266920.959339593 7547298.235685128, 7266920.959339593 7591298.235685128, 7310920.959339593 7591298.235685128))","POLYGON ((112.73672563549466 -7.019985763088785, 112.91381941409381 -7.203134515741349, 112.72991420082087 -7.38047504285685, 112.5528607492374 -7.196332078181718, 112.73672563549466 -7.019985763088785))"
Tahuna ,3.61667,125.48333,POINT (125.48333 3.61667),"POLYGON ((10404118.774610344 7050928.546682885, 10404118.774610344 7006928.546682885, 10360118.774610344 7006928.546682885, 10360118.774610344 7050928.546682885, 10404118.774610344 7050928.546682885))","POLYGON ((125.45478797944104 3.7657441850586366, 125.63182225682063 3.6455907415805537, 125.51201145985765 3.4672206871603883, 125.33469830547511 3.5880985566053107, 125.45478797944104 3.7657441850586366))"
Tanjung Arang (Bunyu) ,3.46667,117.83333,POINT (117.83333 3.46667),"POLYGON ((9419799.763851553 8274736.2807432, 9419799.763851553 8230736.2807432, 9375799.763851553 8230736.2807432, 9375799.763851553 8274736.2807432, 9419799.763851553 8274736.2807432))","POLYGON ((117.82353593076677 3.618552323534593, 117.98465038440932 3.4767240786820763, 117.8431728157295 3.3143869560728727, 117.6819608696927 3.456991755798128, 117.82353593076677 3.618552323534593))"
Tanjung Balai Karimun ,0.98333,103.43333,POINT (103.43333 0.98333),"POLYGON ((6941765.678710292 9839025.350218955, 6941765.678710292 9795025.350218955, 6897765.678710292 9795025.350218955, 6897765.678710292 9839025.350218955, 6941765.678710292 9839025.350218955))","POLYGON ((103.4601997166547 1.1397741379817177, 103.58901471687328 0.9564081796950703, 103.40632276504243 0.826490574388348, 103.27778279969141 1.0106394351954633, 103.4601997166547 1.1397741379817177))"
Tanjung Benete ,-8.9,116.75,POINT (116.75 -8.9),"POLYGON ((7579018.229129795 6899870.81494093, 7579018.229129795 6855870.81494093, 7535018.229129795 6855870.81494093, 7535018.229129795 6899870.81494093, 7579018.229129795 6899870.81494093))","POLYGON ((116.74130222639816 -8.71583165183499, 116.93540135125615 -8.891044284062135, 116.7587508424805 -9.084633799357253, 116.5645455808448 -8.908395907311482, 116.74130222639816 -8.71583165183499))"
Tanjung Gerem ,-5.96667,105.98333,POINT (105.98333 -5.96667),"POLYGON ((6560919.9246427575 8520491.957025828, 6560919.9246427575 8476491.957025828, 6516919.9246427575 8476491.957025828, 6516919.9246427575 8520491.957025828, 6560919.9246427575 8520491.957025828))","POLYGON ((106.00612314949213 -5.791263075763041, 106.15880919476636 -5.9893074344805965, 105.96040531222707 -6.14251664099453, 105.80798234137363 -5.94353487114536, 106.00612314949213 -5.791263075763041))"
Tanjungpandan ,-2.75,107.63333,POINT (107.63333 -2.75),"POLYGON ((7153717.0528868 8789419.068297872, 7153717.0528868 8745419.068297872, 7109717.0528868 8745419.068297872, 7109717.0528868 8789419.068297872, 7153717.0528868 8789419.068297872))","POLYGON ((107.65045959253345 -2.582329507299265, 107.80033341107628 -2.767044389234179, 107.61610633239752 -2.9181014301600454, 107.46642066259672 -2.7325004761805958, 107.65045959253345 -2.582329507299265))"
Tanjungpinang ,0.91667,104.45,POINT (104.45 0.91667),"POLYGON ((7096812.33792858 9711743.496252226, 7096812.33792858 9667743.496252226, 7052812.33792858 9667743.496252226, 7052812.33792858 9711743.496252226, 7096812.33792858 9711743.496252226))","POLYGON ((104.47430385426033 1.0737158927951498, 104.6062755248509 0.8923394640963878, 104.42557128089915 0.7592240101346621, 104.29384933839005 0.9413934644917293, 104.47430385426033 1.0737158927951498))"
Tanjungredeb ,2.15,117.48333,POINT (117.48333 2.15),"POLYGON ((9173581.063670218 8152041.96785493, 9173581.063670218 8108041.96785493, 9129581.063670218 8108041.96785493, 9129581.063670218 8152041.96785493, 9173581.063670218 8152041.96785493))","POLYGON ((117.47420945647919 2.3054127114603498, 117.63799238056137 2.1593953776888877, 117.49249694238016 1.9941777575093473, 117.3286212211746 2.140998016248884, 117.47420945647919 2.3054127114603498))"
Tanjung Sangata ,0.36667,117.56667,POINT (117.56667 0.36667),"POLYGON ((8922222.878907403 7906999.858493887, 8922222.878907403 7862999.858493887, 8878222.878907403 7862999.858493887, 8878222.878907403 7906999.858493887, 8922222.878907403 7906999.858493887))","POLYGON ((117.55706408576171 0.5267644574150848, 117.72587898887683 0.3765742131081572, 117.57632622306546 0.2061554830633665, 117.40741070297985 0.3571829258913168, 117.55706408576171 0.5267644574150848))"
Tanjung Santan ,-0.1,117.53333,POINT (117.53333 -0.1),"POLYGON ((8850528.531853827 7852104.83088132, 8850528.531853827 7808104.83088132, 8806528.531853827 7808104.83088132, 8806528.531853827 7852104.83088132, 8850528.531853827 7852104.83088132))","POLYGON ((117.52373847785901 0.061324981339341, 117.69375941781226 -0.0901067001327594, 117.54297214166726 -0.2617477825937398, 117.37284996336017 -0.1094696913866946, 117.52373847785901 0.061324981339341))"
Tanjung Sekong ,-5.91667,106.0,POINT (106 -5.91667),"POLYGON ((6568603.372844206 8525666.061831018, 6568603.372844206 8481666.061831018, 6524603.372844206 8481666.061831018, 6524603.372844206 8525666.061831018, 6568603.372844206 8525666.061831018))","POLYGON ((106.02272675218025 -5.741384404132876, 106.17534157204551 -5.939243169443827, 105.97714219572909 -6.092395176205732, 105.82478947791544 -5.893599845341432, 106.02272675218025 -5.741384404132876))"
Tanjunguban ,1.06667,104.21667,POINT (104.21667 1.06667),"POLYGON ((7076899.482492333 9762527.744508665, 7076899.482492333 9718527.744508665, 7032899.482492333 9718527.744508665, 7032899.482492333 9762527.744508665, 7076899.482492333 9762527.744508665))","POLYGON ((104.24150940187376 1.223230932859759, 104.37247118845634 1.0417988744633355, 104.19170337129229 0.9097107787514543, 104.06099603675969 1.0919311137736425, 104.24150940187376 1.223230932859759))"
Tarempah ,3.21667,106.21667,POINT (106.21667 3.21667),"POLYGON ((7655541.265405752 9864969.922555622, 7655541.265405752 9820969.922555622, 7611541.265405752 9820969.922555622, 7611541.265405752 9864969.922555622, 7655541.265405752 9864969.922555622))","POLYGON ((106.23572282670523 3.3683296356045846, 106.36779776269532 3.1976570183271833, 106.19752251066909 3.06461714932118, 106.06563689878634 3.236052908155697, 106.23572282670523 3.3683296356045846))"
Teluk Bayur ,-0.1,100.36667,POINT (100.36667 -0.1),"POLYGON ((6327146.05702646 9996898.039574727, 6327146.05702646 9952898.039574727, 6283146.05702646 9952898.039574727, 6283146.05702646 9996898.039574727, 6327146.05702646 9996898.039574727))","POLYGON ((100.40192617791413 0.0576728854751102, 100.52356916025624 -0.1353920739558696, 100.33123199614438 -0.2580575148744252, 100.20995266340184 -0.0642224887057994, 100.40192617791413 0.0576728854751102))"
Teluk Beo ,4.23333,126.78333,POINT (126.78333 4.23333),"POLYGON ((10658202.531369964 6896859.102983657, 10658202.531369964 6852859.102983657, 10614202.531369964 6852859.102983657, 10614202.531369964 6896859.102983657, 10658202.531369964 6896859.102983657))","POLYGON ((126.75195113945303 4.380163124748435, 126.92969044809485 4.265076240155654, 126.81485995989402 4.086131759656269, 126.63681845422107 4.201919275145732, 126.75195113945303 4.380163124748435))"
Ternate ,0.78333,127.38333,POINT (127.38333 0.78333),"POLYGON ((10139677.30626163 6421419.862406494, 10139677.30626163 6377419.862406494, 10095677.30626163 6377419.862406494, 10095677.30626163 6421419.862406494, 10139677.30626163 6421419.862406494))","POLYGON ((127.3486201205037 0.9387447501634266, 127.53781930075844 0.818545980826608, 127.41821633500612 0.627534864900117, 127.22866424588541 0.7484882516405567, 127.3486201205037 0.9387447501634266))"
Tg. Sorong ,-0.88333,131.23333,POINT (131.23333 -0.88333),"POLYGON ((10242029.896760857 5616181.78238411, 10242029.896760857 5572181.78238411, 10198029.896760857 5572181.78238411, 10198029.896760857 5616181.78238411, 10242029.896760857 5616181.78238411))","POLYGON ((131.18773896239145 -0.7262168830600022, 131.38947244999864 -0.8371352795753388, 131.27915533842665 -1.0408050205094084, 131.07695325199802 -0.9291554925599821, 131.18773896239145 -0.7262168830600022))"
Toboali ,-3.01667,106.45,POINT (106.45 -3.01667),"POLYGON ((6952002.410765009 8887528.610435113, 6952002.410765009 8843528.610435113, 6908002.410765009 8843528.610435113, 6908002.410765009 8887528.610435113, 6952002.410765009 8887528.610435113))","POLYGON ((106.47044645085525 -2.84867466916448, 106.61737413601094 -3.037054058774144, 106.42944101421878 -3.185093658996911, 106.28273839724535 -2.9958308460748935, 106.47044645085525 -2.84867466916448))"
Tuban ,-6.73333,112.15,POINT (112.15 -6.73333),"POLYGON ((7293657.89754251 7719431.3863076875, 7293657.89754251 7675431.3863076875, 7249657.89754251 7675431.3863076875, 7249657.89754251 7719431.3863076875, 7293657.89754251 7719431.3863076875))","POLYGON ((112.15507823860844 -6.554550119799337, 112.3290764842335 -6.738158913525062, 112.14489184380315 -6.912568304438152, 111.97095343283925 -6.727975707893272, 112.15507823860844 -6.554550119799337))"
Udang Oilfield ,4.03333,106.48333,POINT (106.48333 4.03333),"POLYGON ((7801552.027197878 9963149.009314114, 7801552.027197878 9919149.009314114, 7757552.027197878 9919149.009314114, 7757552.027197878 9963149.009314114, 7801552.027197878 9963149.009314114))","POLYGON ((106.50148044734883 4.182924857848104, 106.63253504720417 4.015238906517606, 106.4650905222267 3.8833461458405023, 106.33421398217031 4.0517816927279515, 106.50148044734883 4.182924857848104))"
Ujung Pandang ,-5.13333,119.4,POINT (119.4 -5.13333),"POLYGON ((8371502.343713237 6982460.786995188, 8371502.343713237 6938460.786995188, 8327502.343713237 6938460.786995188, 8327502.343713237 6982460.786995188, 8371502.343713237 6982460.786995188))","POLYGON ((119.38427753683403 -4.9593055260065615, 119.57374095774368 -5.117274594976017, 119.41581235257433 -5.307798834874442, 119.2261691542967 -5.148892411778222, 119.38427753683403 -4.9593055260065615))"
Uleelheue ,5.56667,95.28333,POINT (95.28333 5.56667),"POLYGON ((6002751.463629787 11501217.820509467, 6002751.463629787 11457217.820509467, 5958751.463629787 11457217.820509467, 5958751.463629787 11501217.820509467, 6002751.463629787 11501217.820509467))","POLYGON ((95.32724812711298 5.7065566101914165, 95.42320923924754 5.522709464689146, 95.23921003002404 5.426460342251297, 95.14365260170402 5.6109164240275415, 95.32724812711298 5.7065566101914165))"
Wahai ,-2.78333,129.5,POINT (129.5 -2.78333),"POLYGON ((9772158.040875485 5725037.299661938, 9772158.040875485 5681037.299661938, 9728158.040875485 5681037.299661938, 9728158.040875485 5725037.299661938, 9772158.040875485 5725037.299661938))","POLYGON ((129.45756803110476 -2.6201713519745153, 129.6623368300841 -2.7403462407987402, 129.5426586970133 -2.9468711034572563, 129.33743644479654 -2.8259067867334133, 129.45756803110476 -2.6201713519745153))"
Waingapu ,-2.78333,129.5,POINT (129.5 -2.78333),"POLYGON ((9772158.040875485 5725037.299661938, 9772158.040875485 5681037.299661938, 9728158.040875485 5681037.299661938, 9728158.040875485 5725037.299661938, 9772158.040875485 5725037.299661938))","POLYGON ((129.45756803110476 -2.6201713519745153, 129.6623368300841 -2.7403462407987402, 129.5426586970133 -2.9468711034572563, 129.33743644479654 -2.8259067867334133, 129.45756803110476 -2.6201713519745153))"
Widuri Marine Terminal ,-4.66667,106.65,POINT (106.65 -4.66667),"POLYGON ((6796041.548580865 8629662.902632391, 6796041.548580865 8585662.902632391, 6752041.548580865 8585662.902632391, 6752041.548580865 8629662.902632391, 6796041.548580865 8629662.902632391))","POLYGON ((106.67044087748793 -4.494354813025814, 106.82201346081322 -4.6869970413531545, 106.62944349099153 -4.839421920792933, 106.4781021688938 -4.6458626410413375, 106.67044087748793 -4.494354813025814))"
